"Cloudlet","","Vertual Machine","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load",""
"CL = 13"," -> ","VM = 13","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","1084.0","1.1117948717948718","","2807.0","4.790102389078498","","1274.0","2.3121597096188746","","1482.0","1.8432835820895523","","2522.0","5.2",""
"CL = 14"," -> ","VM = 9","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","1245.0","1.7054794520547945","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","1274.0","2.3121597096188746","","1482.0","1.8432835820895523","","2522.0","5.2",""
"CL = 15"," -> ","VM = 4","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","1274.0","2.3121597096188746","","1482.0","1.8432835820895523","","2522.0","5.2",""
"CL = 16"," -> ","VM = 12","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","1292.0","2.100813008130081","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","1274.0","2.3121597096188746","","2678.0","3.3308457711442787","","2522.0","5.2",""
"CL = 17"," -> ","VM = 8","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","2204.0","2.230769230769231","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","2671.0","4.343089430894309","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","1274.0","2.3121597096188746","","2678.0","3.3308457711442787","","2522.0","5.2",""
"CL = 18"," -> ","VM = 2","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","3514.0","3.5566801619433197","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","2671.0","4.343089430894309","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","1274.0","2.3121597096188746","","2678.0","3.3308457711442787","","2522.0","5.2",""
"CL = 19"," -> ","VM = 11","","2235.0","2.3878205128205128","","2688.0","3.873198847262248","","3514.0","3.5566801619433197","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","2671.0","4.343089430894309","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","2678.0","3.3308457711442787","","2522.0","5.2",""
"CL = 20"," -> ","VM = 0","","3777.0","4.035256410256411","","2688.0","3.873198847262248","","3514.0","3.5566801619433197","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","1532.0","2.5575959933222037","","2671.0","4.343089430894309","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","2678.0","3.3308457711442787","","2522.0","5.2",""
"CL = 21"," -> ","VM = 7","","3777.0","4.035256410256411","","2688.0","3.873198847262248","","3514.0","3.5566801619433197","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","3129.0","5.223706176961603","","2671.0","4.343089430894309","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","2678.0","3.3308457711442787","","2522.0","5.2",""
"CL = 22"," -> ","VM = 12","","3777.0","4.035256410256411","","2688.0","3.873198847262248","","3514.0","3.5566801619433197","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","3129.0","5.223706176961603","","2671.0","4.343089430894309","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
"CL = 23"," -> ","VM = 2","","3777.0","4.035256410256411","","2688.0","3.873198847262248","","6231.0","6.30668016194332","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","1842.0","3.7062374245472838","","2214.0","4.6415094339622645","","3129.0","5.223706176961603","","2671.0","4.343089430894309","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
"CL = 24"," -> ","VM = 5","","3777.0","4.035256410256411","","2688.0","3.873198847262248","","6231.0","6.30668016194332","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","4554.0","9.16297786720322","","2214.0","4.6415094339622645","","3129.0","5.223706176961603","","2671.0","4.343089430894309","","3708.0","3.8030769230769232","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
"CL = 25"," -> ","VM = 9","","3777.0","4.035256410256411","","2688.0","3.873198847262248","","6231.0","6.30668016194332","","2979.0","4.446268656716418","","2822.0","3.8657534246575342","","4554.0","9.16297786720322","","2214.0","4.6415094339622645","","3129.0","5.223706176961603","","2671.0","4.343089430894309","","5580.0","5.723076923076923","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
"CL = 26"," -> ","VM = 4","","3777.0","4.035256410256411","","2688.0","3.873198847262248","","6231.0","6.30668016194332","","2979.0","4.446268656716418","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","2214.0","4.6415094339622645","","3129.0","5.223706176961603","","2671.0","4.343089430894309","","5580.0","5.723076923076923","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
"CL = 27"," -> ","VM = 1","","3777.0","4.035256410256411","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","2979.0","4.446268656716418","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","2214.0","4.6415094339622645","","3129.0","5.223706176961603","","2671.0","4.343089430894309","","5580.0","5.723076923076923","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
