"Cloudlet ID","STATUS","Data center ID","VM ID","Time","Start Time","Finish Time","user id"
"75","SUCCESS","2","5","4.58","19.79","24.37","4"
"92","SUCCESS","3","8","3.8","20.65","24.45","4"
"156","SUCCESS","2","2","2.55","22.12","24.66","4"
"116","SUCCESS","2","4","4.04","20.88","24.92","4"
"113","SUCCESS","2","1","2.27","22.76","25.03","4"
"101","SUCCESS","2","3","4.04","20.99","25.03","4"
"109","SUCCESS","3","11","2.36","22.72","25.08","4"
"83","SUCCESS","3","13","5.24","20.02","25.26","4"
"126","SUCCESS","2","0","2.75","22.63","25.38","4"
"177","SUCCESS","3","9","2.44","23.49","25.93","4"
"152","SUCCESS","3","12","2.46","24.04","26.5","4"
"89","SUCCESS","2","5","2.28","24.37","26.65","4"
"140","SUCCESS","2","0","1.72","25.38","27.1","4"
"133","SUCCESS","3","7","3.38","23.73","27.11","4"
"127","SUCCESS","2","1","2.18","25.03","27.21","4"
"170","SUCCESS","2","2","2.54","24.66","27.21","4"
"106","SUCCESS","3","8","2.77","24.45","27.22","4"
"108","SUCCESS","3","10","3.12","24.28","27.4","4"
"123","SUCCESS","3","11","2.78","25.08","27.86","4"
"166","SUCCESS","3","12","1.64","26.5","28.14","4"
"115","SUCCESS","2","3","3.17","25.03","28.2","4"
"76","SUCCESS","2","6","4.4","24.12","28.52","4"
"191","SUCCESS","3","9","2.6","25.93","28.53","4"
"130","SUCCESS","2","4","3.93","24.92","28.84","4"
"154","SUCCESS","2","0","1.88","27.1","28.97","4"
"147","SUCCESS","3","7","1.94","27.11","29.05","4"
"184","SUCCESS","2","2","2.1","27.21","29.3","4"
"141","SUCCESS","2","1","2.73","27.21","29.93","4"
"137","SUCCESS","3","11","2.07","27.86","29.93","4"
"120","SUCCESS","3","8","2.83","27.22","30.05","4"
"198","SUCCESS","2","2","1.18","29.3","30.49","4"
"97","SUCCESS","3","13","5.42","25.26","30.68","4"
"122","SUCCESS","3","10","3.42","27.4","30.83","4"
"103","SUCCESS","2","5","4.33","26.65","30.98","4"
"205","SUCCESS","3","9","2.47","28.53","31","4"
"168","SUCCESS","2","0","2.33","28.97","31.3","4"
"180","SUCCESS","3","12","3.31","28.14","31.44","4"
"155","SUCCESS","2","1","1.53","29.93","31.46","4"
"212","SUCCESS","2","2","1.14","30.49","31.63","4"
"129","SUCCESS","2","3","3.54","28.2","31.74","4"
"161","SUCCESS","3","7","3.52","29.05","32.57","4"
"151","SUCCESS","3","11","2.94","29.93","32.87","4"
"144","SUCCESS","2","4","4.05","28.84","32.89","4"
"226","SUCCESS","2","2","1.38","31.63","33","4"
"90","SUCCESS","2","6","4.61","28.52","33.13","4"
"182","SUCCESS","2","0","2.12","31.3","33.42","4"
"219","SUCCESS","3","9","2.54","31","33.54","4"
"134","SUCCESS","3","8","3.6","30.05","33.65","4"
"117","SUCCESS","2","5","3.13","30.98","34.11","4"
