"Cloutlet-ID","Algo Wait Time","Round-Robin Wait Time","Algo Execution Time","Round-Robin Execution Time"
"157","31.55","35.41","5.47","4.03"
"158","31.79","32.89","3.05","4.08"
"159","31.9","41.95","4.83","4.66"
"160","32.04","51.88","2.05","3.18"
"161","32.4","29.05","3.15","3.52"
"162","32.29","36.45","3.04","4.63"
"163","32.26","21.97","2.45","1.52"
"164","32.72","38.46","1.14","1.92"
"165","32.9","32.87","5.65","4.89"
"166","33.12","26.5","2.2","1.64"
"167","33.23","52.41","3.39","4.12"
"168","33.86","28.97","2.2","2.33"
"169","34.1","31.46","2.7","2.84"
"170","34.09","24.66","4.46","2.54"
"171","34.21","39.44","2.7","2.73"
"172","34.6","36.97","1.91","2.1"
"173","34.71","46.61","2.8","3.47"
"174","34.84","55.06","2","3.87"
"175","35.32","32.57","4.35","4.34"
"176","35.33","41.08","1.1","1.67"
"177","35.54","23.49","3.55","2.44"
"178","36.06","40.38","1.61","2.71"
"179","36.43","37.76","2.78","4.65"
"180","36.62","28.14","4.54","3.31"
"181","36.73","56.53","5.53","5.51"
"182","36.51","31.3","2.47","2.12"
"183","36.8","34.31","3.63","3.82"
"184","36.91","27.21","2.98","2.1"
"185","36.84","42.17","2.72","3.96"
"186","37.02","39.08","4.41","2.98"
"187","37.51","50.08","3.75","4.61"
"188","37.67","58.93","1.99","4.11"
"189","38.55","36.91","3.44","3.16"
"190","38.55","42.75","3.33","2.58"
"191","39.09","25.93","3.79","2.6"
"192","38.98","43.1","2.78","3.82"
"193","39.2","42.41","3.01","5.02"
"194","39.57","31.44","2.59","3.14"
"195","39.66","62.04","1.66","3.39"
"196","39.68","33.42","3.96","2.53"
"197","39.89","38.13","2.1","2.05"
"198","40.43","29.3","1.67","1.18"
"199","41.16","46.13","4.96","4.33"
"200","41.32","42.06","1.67","2.24"
"201","41.27","54.68","1.92","2.37"
"202","41.43","63.04","2.1","2.19"
"203","41.99","40.07","1.65","1.88"
"204","41.76","45.33","3.06","4"
"205","41.88","28.53","5.06","2.47"
"206","42.1","46.91","1.83","2.19"
"207","41.99","47.44","3.78","3.78"
"208","42.15","34.58","1.59","1.98"
"209","42.21","65.43","1.61","3.15"
"210","42.26","35.95","5.22","2.7"
"211","42.88","40.18","2.66","2.56"
"212","42.99","30.49","1.14","1.14"
"213","43.18","50.47","4.41","4.02"
"214","43.64","44.29","1.79","1.7"
"215","43.53","57.06","3.59","3.59"
"216","43.63","65.23","4.06","4.99"
"217","43.74","41.95","2.82","4.57"
"218","43.93","49.33","2.77","3.29"
"219","43.82","31","2.69","2.54"
